Input Frequency,Output Frequency (Hz),Fmin (Hz),Fmax (Hz),Amplitude,Amin,Amax,Aunits
190,200.8,191,218,152,92,180,mV
195,206.7,198.8,225.9,132,92,172,mV
200,203.9,209.9,236.9,132,116,212,mV
205,219.7,205.6,223.7,152,132,212,mV
210,226.5,212.8,231.4,196,164,240,mV
215,223.4,217.2,227.8,168,80,296,mV
220,220.8,217.6,223.6,384,360,408,mV
225,225.5,222.9,226.6,412,376,428,mV
230,230.1,229.2,230.6,692,676,716,mV
235,235,234.7,235.3,1.75,1.73,1.77,V
240,240.1,239.8,240.2,1.45,1.43,1.5,V
245,245.2,245.1,245.6,630,580,630,mV
250,251.3,250.6,254.4,420,400,430,mV
255,255.5,251.3,260,268,228,276,mV
260,262.7,248.7,264.7,220,188,240,mV
265,266.1,252.9,267.1,204,188,212,mV
270,273.4,265.9,274.6,196,180,212,mV
